epoch,train_mse,val_mse
1,0.8987324759364128,0.35025838017463684
2,0.3619022164493799,0.2459714710712433
3,0.31260850466787815,0.19493451217810312
4,0.2558832513168454,0.1642078272998333
5,0.24072149395942688,0.1451627823213736
6,0.2151111727580428,0.1454951005677382
7,0.19111266359686852,0.1392479712764422
8,0.19406871125102043,0.13971456016103426
9,0.17165837436914444,0.1346498839557171
10,0.1561344861984253,0.1453430031736692
11,0.14401315012946725,0.1419403130809466
12,0.14952455135062337,0.15123104552427927
13,0.13529623672366142,0.14179328829050064
14,0.1240115649998188,0.13817132885257402
15,0.1296225399710238,0.13502555340528488
16,0.12796940933912992,0.13908929750323296
17,0.12168279523029923,0.14025681217511496
